Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2014","Hepatitis (viral, acute), type A, Cum 2014, flag","Hepatitis (viral, acute), type A, Cum 2013","Hepatitis (viral, acute), type A, Cum 2013, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2014","Hepatitis (viral, acute), type B, Cum 2014, flag","Hepatitis (viral, acute), type B, Cum 2013","Hepatitis (viral, acute), type B, Cum 2013, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2014","Hepatitis (viral, acute), type C, Cum 2014, flag","Hepatitis (viral, acute), type C, Cum 2013","Hepatitis (viral, acute), type C, Cum 2013, flag",Location 1 (city),Location 1,Location 1 (state),Location 2
INDIANA,2014,39,,-,0,,3,,15,,24,,,-,2,,7,,70,,78,,,-,2,,8,,51,,128,,,POINT (-86.14995579899966 39.76691072200049),INDIANA,
FLORIDA,2014,39,1,,2,,6,,70,,74,,7,,7,,14,,249,,221,,2,,2,,6,,69,,111,,,POINT (-81.92895558499964 28.93204444200046),FLORIDA,
WEST VIRGINIA,2014,39,,-,0,,1,,5,,2,,,-,3,,8,,123,,145,,,-,1,,6,,47,,38,,,POINT (-80.71263935099967 38.66551303900047),WEST VIRGINIA,
HAWAII,2014,39,,-,0,,2,,5,,15,,,-,0,,1,,4,,4,,,-,0,,0,,,-,,-,,POINT (-157.85774691599974 21.304853205000427),HAWAII,
NEBRASKA,2014,39,,-,0,,2,,9,,10,,,-,0,,2,,5,,8,,,-,0,,1,,1,,2,,,POINT (-99.36571864599966 41.641041981000456),NEBRASKA,
COLORADO,2014,39,,-,0,,2,,8,,47,,,-,0,,2,,1,,19,,,-,0,,2,,4,,16,,,POINT (-106.13360888799969 38.84384201300048),COLORADO,
LOUISIANA,2014,39,,-,0,,3,,7,,7,,,-,1,,6,,52,,51,,1,,0,,3,,20,,14,,,POINT (-92.44567554599968 31.312664106000454),LOUISIANA,
KANSAS,2014,39,,-,0,,1,,4,,10,,,-,0,,1,,5,,9,,,-,0,,3,,20,,12,,,POINT (-98.20077655499966 38.3477418760005),KANSAS,
MASSACHUSETTS,2014,39,,-,0,,2,,18,,36,,,-,0,,7,,19,,51,,,-,2,,8,,79,,144,,,POINT (-72.08268985899963 42.27687014100047),MASSACHUSETTS,
KENTUCKY,2014,39,,-,0,,2,,9,,19,,,-,3,,8,,106,,149,,,-,3,,8,,118,,176,,,POINT (-84.77496612599964 37.645970985000474),KENTUCKY,
ALASKA,2014,39,,-,0,,1,,1,,1,,,-,0,,1,,3,,1,,,-,0,,0,,,-,,-,,POINT (-147.72205669099972 64.84507631500048),ALASKA,
DELAWARE,2014,39,,-,0,,1,,1,,2,,,-,0,,1,,4,,9,,,U,0,,0,,,U,,U,,POINT (-75.57773943699965 39.00883059000046),DELAWARE,
NEVADA,2014,39,,-,0,,1,,6,,16,,,-,0,,3,,15,,25,,,-,0,,1,,3,,7,,,POINT (-117.07183978499972 39.493242807000456),NEVADA,
NEW JERSEY,2014,39,,-,0,,3,,13,,57,,,-,0,,2,,5,,52,,,-,1,,4,,25,,82,,,POINT (-74.27368565099965 40.13057159500045),NEW JERSEY,
WASHINGTON,2014,39,1,,0,,3,,13,,30,,3,,0,,7,,21,,13,,4,,1,,9,,55,,39,,,POINT (-120.47002746299972 47.5222894470005),WASHINGTON,
MONTANA,2014,39,,-,0,,1,,5,,6,,,-,0,,1,,,-,2,,,-,0,,2,,11,,14,,,POINT (-109.42441687999968 47.06652759400049),MONTANA,
NEW YORK CITY,2014,39,1,,1,,4,,34,,69,,3,,1,,6,,42,,57,,,-,0,,4,,14,,10,,,POINT (-74.00596858999967 40.71426755700048),NEW YORK CITY,
MINNESOTA,2014,39,,-,0,,2,,13,,26,,,-,0,,1,,5,,16,,,-,0,,3,,2,,39,,,POINT (-94.79419697699967 46.35564575300049),MINNESOTA,
GUAM,2014,39,,-,0,,4,,,-,23,,,-,0,,7,,,-,59,,,-,0,,7,,,-,54,,,POINT (144.73149801400064 13.480998894000436),GUAM,
UNITED STATES,2014,40,10,,22,,41,,848,,1419,,23,,53,,114,,2064,,2247,,20,,37,,67,,1283,,1613,,,,,
NEW ENGLAND,2014,40,,-,1,,6,,53,,74,,,-,1,,7,,37,,72,,,-,3,,11,,118,,156,,,,,
MID. ATLANTIC,2014,40,2,,3,,8,,114,,232,,4,,3,,8,,132,,178,,5,,5,,15,,175,,230,,,,,
E.N. CENTRAL,2014,40,2,,3,,9,,123,,237,,2,,9,,61,,471,,350,,5,,6,,25,,218,,312,,,,,
W.N. CENTRAL,2014,40,,-,1,,5,,51,,71,,,-,1,,5,,57,,87,,1,,1,,4,,29,,60,,,,,
S. ATLANTIC,2014,40,,-,5,,11,,177,,210,,12,,17,,27,,650,,651,,3,,7,,18,,279,,311,,,,,
DIST. OF COL.,2014,40,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,DIST. OF COL.,
E.S. CENTRAL,2014,40,1,,1,,4,,34,,47,,2,,11,,17,,399,,473,,4,,6,,11,,224,,288,,,,,
W.S. CENTRAL,2014,40,2,,3,,12,,113,,97,,,-,5,,18,,167,,221,,,-,2,,9,,65,,87,,,,,
MOUNTAIN,2014,40,1,,1,,5,,55,,160,,1,,1,,5,,37,,78,,,-,2,,5,,57,,58,,,,,
PACIFIC,2014,40,2,,3,,9,,128,,291,,2,,4,,13,,114,,137,,2,,3,,10,,118,,111,,,,,
AMER. SAMOA,2014,40,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,AMER. SAMOA,
C.N.M.I.,2014,40,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,C.N.M.I.,
VIRGIN ISL.,2014,40,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,VIRGIN ISL.,
GEORGIA,2014,40,,-,1,,3,,38,,30,,2,,2,,6,,86,,87,,,-,0,,4,,20,,39,,,POINT (-83.62757601199968 32.83968158500045),GEORGIA,
OREGON,2014,40,,-,0,,2,,10,,25,,,-,0,,3,,23,,25,,,-,0,,2,,11,,10,,,POINT (-120.15502977999972 44.56745218600048),OREGON,
NEBRASKA,2014,40,,-,0,,2,,9,,10,,,-,0,,1,,7,,8,,1,,0,,1,,2,,2,,,POINT (-99.36571864599966 41.641041981000456),NEBRASKA,
ARIZONA,2014,40,1,,0,,3,,18,,59,,1,,0,,2,,11,,20,,,U,0,,0,,,U,,U,,POINT (-111.76380949799972 34.865970167000455),ARIZONA,
FLORIDA,2014,40,,-,2,,6,,70,,80,,7,,7,,14,,258,,227,,2,,2,,6,,72,,113,,,POINT (-81.92895558499964 28.93204444200046),FLORIDA,
CALIFORNIA,2014,40,1,,2,,7,,98,,217,,,-,2,,7,,62,,92,,,-,1,,4,,51,,60,,,POINT (-120.99999889499969 37.63864203100047),CALIFORNIA,
MISSOURI,2014,40,,-,0,,2,,13,,6,,,-,1,,4,,31,,41,,,-,0,,2,,5,,3,,,POINT (-92.56629737199967 38.63579079900046),MISSOURI,
OHIO,2014,40,1,,0,,4,,24,,49,,2,,4,,12,,150,,161,,1,,2,,17,,72,,57,,,POINT (-82.40425685299965 40.06021184000048),OHIO,
TEXAS,2014,40,2,,2,,8,,92,,73,,,-,2,,10,,78,,101,,,-,0,,4,,26,,20,,,POINT (-99.4267664729997 31.827240712000446),TEXAS,
IOWA,2014,40,,-,0,,3,,7,,8,,,-,0,,2,,7,,8,,,-,0,,0,,,-,,-,,POINT (-93.81648936699969 42.469401477000474),IOWA,
CONNECTICUT,2014,40,,-,0,,3,,19,,16,,,-,0,,2,,6,,5,,,-,0,,1,,4,,,-,,POINT (-72.64983753699966 41.56266101800048),CONNECTICUT,
ARKANSAS,2014,40,,-,0,,1,,1,,9,,,-,0,,4,,13,,39,,,-,0,,2,,7,,21,,,POINT (-92.27448794899965 34.74865329300047),ARKANSAS,
GUAM,2014,40,,-,0,,4,,,-,23,,,-,0,,7,,,-,59,,,-,0,,7,,,-,54,,,POINT (144.73149801400064 13.480998894000436),GUAM,
ALABAMA,2014,40,,-,0,,2,,11,,7,,,-,2,,5,,82,,70,,,-,0,,2,,22,,24,,,POINT (-86.63185803899967 32.84057034900047),ALABAMA,
NORTH CAROLINA,2014,40,,-,0,,2,,24,,39,,,-,1,,16,,76,,46,,,-,1,,9,,64,,52,,,POINT (-79.15924924699965 35.46622096200048),NORTH CAROLINA,
VIRGINIA,2014,40,,-,0,,3,,18,,26,,1,,1,,5,,45,,54,,,-,1,,5,,39,,26,,,POINT (-78.45788924199968 37.542682294000485),VIRGINIA,
PUERTO RICO,2014,40,,-,0,,1,,3,,9,,,-,0,,2,,12,,32,,,N,0,,0,,,N,,N,,POINT (-66.49988980099965 18.24828934900046),PUERTO RICO,
MAINE,2014,40,,-,0,,2,,2,,4,,,-,0,,1,,8,,10,,,-,0,,2,,21,,6,,,POINT (-68.98502952999962 45.2542257390005),MAINE,
NEVADA,2014,40,,-,0,,1,,6,,16,,,-,0,,3,,15,,25,,,-,0,,1,,3,,7,,,POINT (-117.07183978499972 39.493242807000456),NEVADA,
ILLINOIS,2014,40,,-,1,,5,,41,,54,,,-,1,,5,,39,,69,,,-,0,,2,,18,,31,,,POINT (-88.99770813999965 40.48501433000047),ILLINOIS,
KANSAS,2014,40,,-,0,,1,,4,,10,,,-,0,,1,,5,,10,,,-,0,,3,,20,,13,,,POINT (-98.20077655499966 38.3477418760005),KANSAS,
MISSISSIPPI,2014,40,,-,0,,1,,3,,4,,,-,1,,3,,33,,45,,,U,0,,0,,,U,,U,,POINT (-89.53802764499966 32.745512774000474),MISSISSIPPI,
MASSACHUSETTS,2014,40,,-,0,,2,,22,,37,,,-,0,,7,,19,,54,,,-,2,,10,,92,,147,,,POINT (-72.08268985899963 42.27687014100047),MASSACHUSETTS,
NEW YORK,2014,40,,-,1,,4,,31,,58,,1,,1,,3,,34,,33,,5,,2,,11,,74,,74,,,POINT (-75.54396639699968 42.82700178100049),NEW YORK,
TENNESSEE,2014,40,,-,0,,1,,9,,16,,2,,4,,10,,178,,203,,4,,2,,4,,84,,83,,,POINT (-85.77448642199965 35.68094014000047),TENNESSEE,
KENTUCKY,2014,40,1,,0,,2,,11,,20,,,-,3,,8,,106,,155,,,-,3,,8,,118,,181,,,POINT (-84.77496612599964 37.645970985000474),KENTUCKY,
OKLAHOMA,2014,40,,-,0,,4,,13,,8,,,-,0,,5,,19,,28,,,-,0,,5,,12,,32,,,POINT (-97.52106845499969 35.472031425000466),OKLAHOMA,
